ID,DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,FLOW_KIND,WELL_TYPE
1,17-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,272.294,101.256,165.037,,0,%,107.257,18.079,89.036,production,OP
2,17-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,221.017,105.947,180.485,15.686,24.73077,%,40.532,78.288,11.971,production,OP
3,17-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.166,19.544,100,%,29.166,81.474,0.477,production,OP
4,17-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.88,99.448,236.505,15.303,100,%,30.375,88.465,1.852,production,OP
5,17-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,250.451,106.488,197.327,18.223,8.139,%,53.124,45.518,24.37,production,OP
6,18-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,274.827,101.163,165.905,,0,%,108.922,17.402,90.029,production,OP
7,18-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,221.064,105.944,180.558,15.517,24.71768,%,40.506,76.805,11.957,production,OP
8,18-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.487,19.389,100,%,29.487,78.981,0.816,production,OP
9,18-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.821,99.448,236.549,15.138,100,%,30.273,87.611,1.774,production,OP
10,18-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,244.932,106.486,192.947,17.212,8.29008,%,51.985,41.22,23.271,production,OP
11,19-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,277.311,101.082,166.758,,0,%,110.554,17.264,90.703,production,OP
12,19-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,221.056,105.943,180.554,15.475,24.24979,%,40.502,74.652,11.963,production,OP
13,19-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.453,19.411,97.91667,%,29.453,79.581,0.791,production,OP
14,19-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.815,99.448,236.571,15.138,97.91667,%,30.244,85.942,1.743,production,OP
15,19-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,240.495,106.484,189.843,21.585,8.76862,%,50.652,40.847,21.969,production,OP
16,20-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,280.006,101.008,167.69,,0,%,112.316,16.509,91.513,production,OP
17,20-Aug-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,M®RSK INSPIRER,24,221.138,105.94,180.718,15.422,24.77058,%,40.42,76.077,11.877,production,OP
18,20-Aug-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,M®RSK INSPIRER,24,0,0,29.327,19.441,100,%,29.327,80.645,0.683,production,OP
19,20-Aug-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M®RSK INSPIRER,24,266.809,99.448,236.555,15.19,100,%,30.254,87.334,1.751,production,OP
20,20-Aug-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,M®RSK INSPIRER,24,235.374,106.498,185.663,26.936,9.53824,%,49.711,43.662,21.056,production,OP
21,21-Aug-15,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,M®RSK INSPIRER,0,282.403,100.951,223.089,,20.25874,%,59.314,16.104,43.056,production,OP
